field1|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|field12
|AH03 J0822-36.4|08 22 08|-36 24.3|0.14|||128|1634|8.915||
|ASCC 1|00 09 39|+62 42.2|0.105|-69.67|4.67|72|1600|8.406||
|ASCC 10|03 27 04|+35 01.8|0.53|||205|700|8.717|0.030|
|ASCC 100|19 01 37|+33 34.5|0.365|-25.57|2.67|92|350|7.95||
|ASCC 101|19 13 25|+36 20.1|0.5|-32.00|2.10|100|363|8.62|0.088|
|ASCC 102|19 24 41|+29 57.6|0.165|||152|1500|8.89|0.016|
|ASCC 103|19 36 18|+35 39.6|0.28|||231|841|8.39||
|ASCC 104|19 38 58|+18 39.9|0.4|-5.65|1.65|617|774|7.71||
|ASCC 105|19 41 34|+27 23.0|0.47|-18.75|5.25|524|494|7.91||
|ASCC 106|19 43 19|+01 37.2|0.52|-62.20|0.20|311|525|8.42||
|ASCC 107|19 48 25|+21 57.5|0.17|-7.00|3.70|87|672|8.045|0.116|
|ASCC 108|19 53 49|+39 24.0|0.14|||91|1039|8.425||
|ASCC 109|19 54 05|+34 32.7|0.34|||326|479|8.125||
|ASCC 11|03 32 17|+44 50.4|0.41|0.73|5.64|407|837|8.345||
|ASCC 110|20 02 56|+33 34.2|0.23|-20.50|10.91|122|852|8.55||
|ASCC 112|20 16 23|+52 05.9|0.23|||67|569|8.15||
|ASCC 113|21 12 02|+38 36.6|0.33|||158|501|7.93||
|ASCC 114|21 40 01|+53 57.9|0.16|-22.00|4.90|105|590|7.75||
|ASCC 115|21 56 40|+51 31.5|0.215|-9.00|5.80|146|750|8.35||
|ASCC 116|21 58 30|+54 29.4|0.14|-30.60|3.70|244|1500|7.95||
|ASCC 117|22 05 24|+62 16.2|0.245|-11.39|0.80|133|1500|6.225||
|ASCC 118|22 08 28|+61 05.7|0.205|-42.00|10.00|238|1033|7.87||
|ASCC 119|22 18 40|+46 53.1|0.21|||95|1200|8.791|0.017|
|ASCC 12|04 49 56|+41 43.1|0.22|||74|600|8.63|0.017|
|ASCC 120|22 30 16|+57 11.7|0.21|-60.80|1.80|206|1500|7.4||
|ASCC 124|22 47 35|+46 18.6|0.31|||158|700|8.195||
|ASCC 126|23 05 49|+51 04.2|0.28|-12.70|1.80|124|900|7.451||
|ASCC 127|23 08 50|+64 50.7|0.675|-8.24|2.65|427|400|7.82||
|ASCC 128|23 21 07|+54 40.2|0.23|||126|900|8.454|0.016|
|ASCC 13|05 13 48|+44 35.7|0.68|-16.95|9.65|1007|800|7.71||
|ASCC 14|05 20 24|+35 10.8|0.175|-16.87||195|1100|8.53||
|ASCC 15|05 22 28|+36 33.9|0.165|||148|1400|8.685|0.098|
|ASCC 16|05 24 09|+01 38.4|0.66|30.00||267|397|7.0||
|ASCC 17|05 25 19|+30 10.9|0.195|-16.00|6.10|170|1850|7.265||
|ASCC 18|05 26 15|+00 54.0|0.44|24.40|10.50|94|313|7.15||
|ASCC 19|05 27 41|-01 57.9|0.52|19.80|3.17|114|314|7.5||
|ASCC 20|05 28 45|+01 38.4|0.725|22.97|4.80|188|394|7.0||
|ASCC 22|06 14 31|+00 39.6|0.205|90.30|3.54|64|771|8.455||
|ASCC 23|06 20 21|+46 40.5|0.375|||96|600|8.485||
|ASCC 25|06 45 32|+24 35.7|0.21|21.50|2.40|120|1989|9.1||
|ASCC 26|06 50 26|+07 15.0|0.16|8.00|7.40|54|981|8.15||
|ASCC 27|06 53 56|-04 23.4|0.24|||193|1159|8.7||
|ASCC 28|06 54 18|-00 09.0|0.27|22.70|1.80|204|946|8.49|0.002|
|ASCC 29|06 54 20|-01 41.4|0.21|13.50|10.00|91|826|8.06||
|ASCC 30|06 57 02|-06 12.9|0.15|||54|814|8.245||
|ASCC 31|07 01 05|+03 31.8|0.17|||59|747|8.4||
|ASCC 32|07 02 06|-26 33.6|0.325|||195|767|8.215||
|ASCC 34|07 10 37|+06 04.8|0.205|||22|477|8.53||
|ASCC 35|07 12 41|+02 06.3|0.235|||49|787|8.48||
|ASCC 36|07 14 30|-21 07.4|0.25|||142|813|8.33||
|ASCC 37|07 18 04|-24 30.0|0.16|13.50||114|1571|8.73|0.059|
|ASCC 38|07 27 00|-05 32.7|0.245|||38|569|8.6||
|ASCC 39|07 33 16|-22 57.0|0.26|||339|1609|8.71||
|ASCC 4|00 53 17|+61 36.0|0.21|-9.24|9.30|118|550|8.65||
|ASCC 41|07 46 59|+00 01.2|0.26|||31|397|8.7||
|ASCC 42|07 52 34|-52 59.7|0.21|||98|792|8.15||
|ASCC 43|07 53 04|-28 10.5|0.21|90.50|2.70|139|1005|8.215||
|ASCC 44|08 01 55|-50 34.8|0.24|17.80|2.80|102|553|7.9||
|ASCC 46|08 16 23|-48 28.2|0.19|||129|899|7.8||
|ASCC 47|08 31 47|-39 03.3|0.28|11.00|7.40|357|780|7.88||
|ASCC 48|08 34 39|-37 37.8|0.17|22.50|0.01|51|550|9.185|0.021|
