votname;name;log_age
ASCC 10-2.7deg.vot;ASCC 10;8.717
ASCC 100-1.8deg.vot;ASCC 100;7.95
ASCC 101-2.5deg.vot;ASCC 101;8.62
ASCC 103-1.4deg.vot;ASCC 103;8.39
ASCC 108-1.0deg.vot;ASCC 108;8.425
ASCC 11-2.0deg.vot;ASCC 11;8.345
ASCC 113-1.7deg.vot;ASCC 113;7.93
ASCC 114-1.0deg.vot;ASCC 114;7.75
ASCC 115-1.1deg.vot;ASCC 115;8.35
ASCC 118-1.0deg.vot;ASCC 118;7.87
ASCC 12-1.1deg.vot;ASCC 12;8.63
ASCC 120-1.1deg.vot;ASCC 120;7.4
ASCC 122-2.8deg.vot;ASCC 122;7.7
ASCC 124-1.6deg.vot;ASCC 124;8.195
ASCC 125-2.8deg.vot;ASCC 125;6.7
ASCC 127-3.4deg.vot;ASCC 127;7.82
ASCC 16-3.3deg.vot;ASCC 16;7.0
ASCC 18-2.2deg.vot;ASCC 18;7.15
ASCC 19-2.6deg.vot;ASCC 19;7.5
ASCC 20-3.6deg.vot;ASCC 20;7.0
ASCC 21-4.2deg.vot;ASCC 21;7.11
ASCC 22-1.0deg.vot;ASCC 22;8.455
ASCC 23-1.9deg.vot;ASCC 23;8.485
ASCC 27-1.2deg.vot;ASCC 27;8.7
ASCC 28-1.4deg.vot;ASCC 28;8.49
ASCC 29-1.1deg.vot;ASCC 29;8.06
ASCC 30-1.0deg.vot;ASCC 30;8.245
ASCC 32-1.6deg.vot;ASCC 32;8.215
ASCC 33-2.6deg.vot;ASCC 33;7.7
ASCC 37-1.0deg.vot;ASCC 37;8.73
ASCC 42-1.1deg.vot;ASCC 42;8.15
ASCC 44-1.2deg.vot;ASCC 44;7.9
ASCC 46-1.0deg.vot;ASCC 46;7.8
ASCC 47-1.4deg.vot;ASCC 47;7.88
ASCC 49-1.4deg.vot;ASCC 49;7.895
ASCC 50-1.2deg.vot;ASCC 50;7.8
ASCC 51-2.2deg.vot;ASCC 51;8.54
ASCC 58-1.6deg.vot;ASCC 58;7.2
ASCC 60-1.0deg.vot;ASCC 60;8.125
ASCC 61-1.0deg.vot;ASCC 61;7.665
ASCC 8-1.2deg.vot;ASCC 8;7.77
ASCC 84-1.0deg.vot;ASCC 84;7.85
ASCC 89-3.8deg.vot;ASCC 89;7.0
ASCC 92-1.2deg.vot;ASCC 92;9.08
ASCC 97-1.7deg.vot;ASCC 97;7.88
ASCC 99-1.2deg.vot;ASCC 99;8.75
Alessi 1-2.1deg.vot;Alessi 1;8.84
Alessi 12-2.4deg.vot;Alessi 12;7.46
Alessi 13-15.9deg.vot;Alessi 13;8.72
Alessi 2-1.7deg.vot;Alessi 2;8.698
Alessi 20-1.5deg.vot;Alessi 20;7.575
Alessi 21-1.6deg.vot;Alessi 21;7.7
Alessi 3-2.2deg.vot;Alessi 3;8.87
Alessi 5-1.8deg.vot;Alessi 5;7.765
Alessi 62-1.4deg.vot;Alessi 62;8.95
Alessi 9-4.5deg.vot;Alessi 9;8.55
B 35-2.8deg.vot;B 35;8.92
BDSB 21-1.0deg.vot;BDSB 21;8.9
Barkhatova 2-1.0deg.vot;Barkhatova 2;8.632
Basel 17-1.0deg.vot;Basel 17;7.975
Basel 20-1.0deg.vot;Basel 20;7.5
Basel 7-1.0deg.vot;Basel 7;8.105
Berkeley 14A-2.3deg.vot;Berkeley 14A;6.97
Berkeley 55-1.0deg.vot;Berkeley 55;8.57
Berkeley 59-1.1deg.vot;Berkeley 59;6.1
Berkeley 86-1.0deg.vot;Berkeley 86;6.8
Blanco 1-11.8deg.vot;Blanco 1;7.75
Bochum 9-1.0deg.vot;Bochum 9;8.09
C1331-622-1.0deg.vot;C1331-622;9.25
CBJC 4-1.0deg.vot;CBJC 4;7.7
Cep OB3-2.9deg.vot;Cep OB3;7.75
Cep OB4-3.8deg.vot;Cep OB4;6.1
Chamaleon I-1.8deg.vot;Chamaleon I;6.0
Collinder 121-2.4deg.vot;Collinder 121;7.08
Collinder 135-2.6deg.vot;Collinder 135;7.6
Collinder 140-2.5deg.vot;Collinder 140;7.7
Collinder 197-1.1deg.vot;Collinder 197;7.2
Collinder 223-1.0deg.vot;Collinder 223;8.2
Collinder 394-1.5deg.vot;Collinder 394;7.86
Collinder 419-1.0deg.vot;Collinder 419;7.1
Collinder 421-1.1deg.vot;Collinder 421;9.08
Collinder 463-2.5deg.vot;Collinder 463;8.45
Collinder 65-7.5deg.vot;Collinder 65;8.065
Collinder 69-2.7deg.vot;Collinder 69;6.76
Collinder 70-4.4deg.vot;Collinder 70;7.4
Cyg OB2-2.1deg.vot;Cyg OB2;6.72
Czernik 11-1.0deg.vot;Czernik 11;8.555
Czernik 44-1.0deg.vot;Czernik 44;7.5
Czernik 8-1.0deg.vot;Czernik 8;8.175
Czernik 9-1.0deg.vot;Czernik 9;8.75
Dol-Dzim 4-1.0deg.vot;Dol-Dzim 4;8.455
Dolidze 11-1.0deg.vot;Dolidze 11;7.35
Dolidze 44-1.0deg.vot;Dolidze 44;8.155
Dolidze 9-1.0deg.vot;Dolidze 9;8.0
ESO 123-26-1.0deg.vot;ESO 123-26;8.53
ESO 128-16-1.0deg.vot;ESO 128-16;8.84
ESO 130-06-1.0deg.vot;ESO 130-06;7.3
ESO 130-08-1.0deg.vot;ESO 130-08;9.01
ESO 132-14-1.0deg.vot;ESO 132-14;9.15
ESO 260-06-1.0deg.vot;ESO 260-06;8.1
ESO 261-03-1.0deg.vot;ESO 261-03;8.615
ESO 311-14-1.0deg.vot;ESO 311-14;7.74
ESO 313-12-1.0deg.vot;ESO 313-12;8.5
ESO 332-20-1.0deg.vot;ESO 332-20;8.05
ESO 429-13-1.0deg.vot;ESO 429-13;9.02
FSR 0070-1.0deg.vot;FSR 0070;9.565
FSR 0162-1.0deg.vot;FSR 0162;8.95
FSR 0213-1.0deg.vot;FSR 0213;8.715
FSR 0219-1.0deg.vot;FSR 0219;6.5
FSR 0222-1.0deg.vot;FSR 0222;7.2
FSR 0227-1.0deg.vot;FSR 0227;8.515
FSR 0236-1.0deg.vot;FSR 0236;8.2
FSR 0254-1.0deg.vot;FSR 0254;7.265
FSR 0295-1.0deg.vot;FSR 0295;8.8
FSR 0304-1.0deg.vot;FSR 0304;8.785
FSR 0319-1.0deg.vot;FSR 0319;8.6
FSR 0351-1.0deg.vot;FSR 0351;9.125
FSR 0354-1.0deg.vot;FSR 0354;8.0
FSR 0388-1.1deg.vot;FSR 0388;8.13
FSR 0398-1.1deg.vot;FSR 0398;7.7
FSR 0430-1.0deg.vot;FSR 0430;8.88
FSR 0442-1.0deg.vot;FSR 0442;9.0
FSR 0496-1.0deg.vot;FSR 0496;9.055
FSR 0516-1.0deg.vot;FSR 0516;8.83
FSR 0581-1.0deg.vot;FSR 0581;8.4
FSR 0596-1.0deg.vot;FSR 0596;9.15
FSR 0611-1.0deg.vot;FSR 0611;8.75
FSR 0632-1.0deg.vot;FSR 0632;8.35
FSR 0686-1.0deg.vot;FSR 0686;7.5
FSR 0717-1.0deg.vot;FSR 0717;9.05
FSR 0744-1.0deg.vot;FSR 0744;8.85
FSR 0775-1.0deg.vot;FSR 0775;8.72
FSR 0866-1.0deg.vot;FSR 0866;9.2
FSR 0913-1.0deg.vot;FSR 0913;8.9
FSR 0931-1.0deg.vot;FSR 0931;7.4
FSR 0979-1.0deg.vot;FSR 0979;8.7
FSR 0999-1.0deg.vot;FSR 0999;8.85
FSR 1085-1.0deg.vot;FSR 1085;8.735
FSR 1129-1.0deg.vot;FSR 1129;8.385
FSR 1144-1.0deg.vot;FSR 1144;8.18
FSR 1158-1.0deg.vot;FSR 1158;8.555
FSR 1160-1.0deg.vot;FSR 1160;8.505
FSR 1163-1.0deg.vot;FSR 1163;9.15
FSR 1169-1.0deg.vot;FSR 1169;8.675
FSR 1180-1.0deg.vot;FSR 1180;8.675
FSR 1183-1.0deg.vot;FSR 1183;8.585
FSR 1194-1.0deg.vot;FSR 1194;7.815
FSR 1199-1.0deg.vot;FSR 1199;8.645
FSR 1200-1.0deg.vot;FSR 1200;8.715
FSR 1204-1.0deg.vot;FSR 1204;9.32
FSR 1281-1.0deg.vot;FSR 1281;8.68
FSR 1284-1.0deg.vot;FSR 1284;9.145
FSR 1289-1.0deg.vot;FSR 1289;8.605
FSR 1326-1.0deg.vot;FSR 1326;8.78
FSR 1378-1.0deg.vot;FSR 1378;8.0
FSR 1379-1.0deg.vot;FSR 1379;7.45
FSR 1387-1.0deg.vot;FSR 1387;9.02
FSR 1411-1.0deg.vot;FSR 1411;7.5
FSR 1418-1.0deg.vot;FSR 1418;8.85
FSR 1424-1.0deg.vot;FSR 1424;8.4
FSR 1432-1.0deg.vot;FSR 1432;8.1
FSR 1435-1.2deg.vot;FSR 1435;6.0
FSR 1441-1.0deg.vot;FSR 1441;8.73
FSR 1442-1.0deg.vot;FSR 1442;9.19
FSR 1443-1.0deg.vot;FSR 1443;8.77
FSR 1460-1.0deg.vot;FSR 1460;8.835
FSR 1468-1.0deg.vot;FSR 1468;8.3
FSR 1535-1.0deg.vot;FSR 1535;8.865
FSR 1616-1.0deg.vot;FSR 1616;8.3
FSR 1668-1.0deg.vot;FSR 1668;8.9
FSR 1669-1.0deg.vot;FSR 1669;8.0
FSR 1688-1.0deg.vot;FSR 1688;8.455
FSR 1697-1.0deg.vot;FSR 1697;8.06
FSR 1703-1.0deg.vot;FSR 1703;8.55
FSR 1725-1.0deg.vot;FSR 1725;8.0
FSR 1727-1.0deg.vot;FSR 1727;8.87
FSR 1728-1.0deg.vot;FSR 1728;8.9
FSR 1729-1.0deg.vot;FSR 1729;9.38
FSR 1739-1.0deg.vot;FSR 1739;7.7
FSR 1744-1.0deg.vot;FSR 1744;8.6
FSR 1750-1.0deg.vot;FSR 1750;8.795
Feinstein 1-1.0deg.vot;Feinstein 1;7.2
Haffner 13-1.6deg.vot;Haffner 13;7.52
Harvard 16-1.0deg.vot;Harvard 16;7.94
Hogg 10-1.0deg.vot;Hogg 10;6.785
Hogg 19-1.0deg.vot;Hogg 19;9.015
Hogg 20-1.0deg.vot;Hogg 20;7.45
Hogg 21-1.0deg.vot;Hogg 21;7.45
Hogg 6-1.0deg.vot;Hogg 6;8.505
IC 1396-3.7deg.vot;IC 1396;6.0
IC 1442-1.0deg.vot;IC 1442;7.6
IC 1805-1.4deg.vot;IC 1805;7.25
