|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|
|MWSC 4688        |23 51 54|-86 43.2|0.185|        |             |57|1336|9.39|             |
|MWSC 5684        |12 53 43|-86 38.9|0.155|        |             |52|1432|9.18|        0.023|
|MWSC 4176        |14 27 18|-85 25.2|0.28|        |             |155|1093|9.315|             |
|ESO 008-06       |14 56 55|-83 26.7|0.185|        |             |78|1380|9.3|             |
|ESO 008-06       |14 56 55|-83 26.7|0.185|        |             |78|1380|9.3|             |
|MWSC 4219        |15 42 14|-83 11.7|0.2|        |             |95|1606|9.1|             |
|MWSC 4682        |23 43 23|-82 57.6|0.19|        |             |58|1065|9.28|        0.061|
|MWSC 5685        |13 05 24|-82 02.6|0.16|        |             |64|1581|9.15|             |
|FSR 1631         |12 45 43|-81 15.5|0.18|        |             |100|1456|9.5|             |
|MWSC 4137        |09 26 11|-79 44.4|0.18|        |             |83|1209|9.21|        0.030|
|MWSC 5679        |09 33 00|-78 58.2|0.155|        |             |51|1122|8.5|             |
|MWSC 4114        |06 07 52|-78 13.2|0.24|        |             |60|962|9.4|             |
|MWSC 5680        |09 43 48|-78 12.3|0.15|        |             |59|1050|9.3|             |
|FSR 1607         |11 33 00|-77 49.5|0.15|        |             |69|1561|9.565|        0.002|
|FSR 1579         |09 13 41|-77 25.5|0.15|        |             |65|1000|9.5|             |
|FSR 1577         |09 28 46|-76 05.1|0.15|        |             |81|1561|9.6|             |
|MWSC 5676        |08 41 55|-74 45.9|0.145|        |             |58|1604|9.15|             |
|ESO 043-13       |17 04 44|-74 21.0|0.14|        |             |73|1490|9.315|        0.044|
|MWSC 4138        |09 27 07|-73 30.0|0.185|        |             |103|1908|9.28|             |
|FSR 1566         |09 50 35|-72 45.7|0.14|        |             |72|1537|9.43|        0.048|
|ASCC 51          |09 18 05|-69 41.4|0.45|        |             |157|496|8.54|        0.074|
|MWSC 4483        |19 17 08|-68 31.5|0.235|        |             |113|1397|9.31|        0.103|
|MWSC 4463        |18 58 55|-64 15.9|0.21|        |             |125|1406|9.15|             |
|MWSC 5697        |18 24 36|-62 11.7|0.125|        |             |64|1496|9.25|             |
|NGC 2516         |07 57 58|-60 45.0|0.71|   21.22|         1.08|698|373|8.475|             |
|ESO 123-26       |07 52 12|-60 20.4|0.2|        |             |92|816|8.53|             |
|MWSC 4116        |06 19 12|-59 58.2|0.225|        |             |73|1743|9.125|             |
|NGC 2132         |05 55 19|-59 55.2|0.245|        |             |52|1003|9.045|        0.127|
|FSR 1470         |07 22 48|-59 11.9|0.175|        |             |52|1055|8.63|             |
|FSR 1470         |07 22 48|-59 11.9|0.175|        |             |52|1055|8.63|             |
|FSR 1440         |07 23 37|-53 56.8|0.205|        |             |91|1631|8.76|             |
|ASCC 42          |07 52 34|-52 59.7|0.21|        |             |98|792|8.15|             |
|MWSC 5670        |07 03 25|-51 12.3|0.125|        |             |52|1682|8.95|             |
|MWSC 5670        |07 03 25|-51 12.3|0.125|        |             |52|1682|8.95|             |
|ASCC 44          |08 01 55|-50 34.8|0.24|   17.80|         2.80|102|553|7.9|             |
|MWSC 4545        |20 07 50|-49 51.6|0.225|        |             |87|1070|9.31|             |
|NGC 3909         |11 50 06|-48 12.6|0.17|        |             |103|1792|9.515|        0.101|          
|FSR 1471         |09 24 11|-47 20.4|0.115|        |             |112|1966|8.82|             |
|Alessi 3         |07 16 12|-46 37.0|0.44|   20.00|         7.40|78|311|8.87|             |
|FSR 1613         |12 31 53|-46 28.6|0.17|        |             |98|1965|9.49|        0.043|
|MWSC 4498        |19 32 01|-46 26.1|0.155|        |             |72|1537|9.36|             |
|MWSC 5705        |19 06 53|-46 16.3|0.12|        |             |54|1861|8.95|        0.001|
|ESO 260-17       |09 04 45|-46 02.1|0.115|        |             |80|1808|8.99|        0.066|
|ESO 245-09       |01 53 43|-45 55.2|0.37|        |             |51|1380|9.055|        0.071|
|FSR 1574         |11 44 42|-45 39.6|0.18|        |             |93|1389|9.25|             |
|vdBergh-Hagen 200|16 49 56|-44 12.3|0.115|        |             |116|1633|7.5|             |
|NGC 3680         |11 25 37|-43 14.1|0.19|    2.40|         2.65|100|946|9.2|             |
|ESO 282-26       |19 13 44|-42 37.8|0.195|        |             |136|1509|9.235|             |
